103	Purdue	13	40	737	18.43	0	3.1	56.7
104	Nevada	13	16	293	18.31	0	1.2	22.5
105	CoastalCarolina	12	31	565	18.23	0	2.6	47.1
106	Connecticut	12	48	871	18.15	0	4.0	72.6
107	UCF	13	27	489	18.11	0	2.1	37.6
108	Tulsa	12	31	561	18.10	0	2.6	46.8
109	Baylor	13	29	524	18.07	0	2.2	40.3
110	Cincinnati	13	27	486	18.00	0	2.1	37.4
111	Buffalo	14	35	626	17.89	0	2.5	44.7
112	OhioState	14	26	463	17.81	0	1.9	33.1
112	Washington	14	16	285	17.81	0	1.1	20.4
114	Memphis	14	54	959	17.76	1	3.9	68.5
115	WestVirginia	12	21	372	17.71	0	1.8	31.0
116	EastCarolina	12	41	714	17.41	0	3.4	59.5
117	FloridaInternational	13	29	504	17.38	0	2.2	38.8
118	KansasState	12	40	694	17.35	0	3.3	57.8
119	BowlingGreen	12	35	600	17.14	0	2.9	50.0
120	UNLV	12	37	628	16.97	0	3.1	52.3
121	Charlotte	12	27	458	16.96	0	2.3	38.2
122	Illinois	12	41	689	16.80	0	3.4	57.4
122	BallState	12	35	588	16.80	0	2.9	49.0
124	NorthernIllinois	14	17	277	16.29	0	1.2	19.8
125	Navy	13	21	339	16.14	0	1.6	26.1
126	Nebraska	12	31	490	15.81	0	2.6	40.8
127	WesternMichigan	13	38	599	15.76	0	2.9	46.1
128	NewMexico	12	24	378	15.75	0	2.0	31.5
129	Akron	12	23	330	14.35	0	1.9	27.5
130	Army	13	12	152	12.67	0	0.9	11.7
