98	Army	13	76	4520	59.47	15	19.74	1	0
99	Massachusetts	12	69	4094	59.33	12	17.39	5	1
100	Ohio	13	93	5509	59.24	20	21.51	3	3
101	NorthTexas	13	88	5210	59.20	35	39.77	1	0
102	IowaState	13	69	4084	59.19	16	23.19	3	1
103	CentralMichigan	12	41	2421	59.05	14	34.15	0	4
104	OldDominion	12	69	4069	58.97	26	37.68	3	2
105	Liberty	12	72	4242	58.92	26	36.11	2	0
106	ColoradoState	12	52	3058	58.81	21	40.38	2	4
107	SanJoseState	12	54	3170	58.70	18	33.33	2	2
108	Connecticut	12	53	3101	58.51	17	32.08	3	1
109	Hawai'i	14	75	4374	58.32	14	18.67	2	5
110	TCU	13	65	3780	58.15	20	30.77	3	0
111	Louisiana	14	84	4882	58.12	18	21.43	4	2
112	ArkansasState	13	73	4233	57.99	12	16.44	0	1
113	Navy	13	61	3537	57.98	9	14.75	2	4
114	LouisianaTech	13	65	3764	57.91	10	15.38	2	0
115	CoastalCarolina	12	65	3758	57.82	12	18.46	1	1
116	WesternMichigan	13	77	4449	57.78	6	7.79	2	1
117	UTSA	12	40	2307	57.68	7	17.50	2	2
118	SouthernMississippi	11	61	3510	57.54	29	47.54	1	1
119	FloridaAtlantic	12	72	4115	57.15	5	6.94	1	1
120	Indiana	12	65	3700	56.92	23	35.38	1	1
121	Temple	13	80	4551	56.89	10	12.50	1	2
122	Northwestern	14	66	3749	56.80	8	12.12	3	2
123	GeorgiaState	12	56	3160	56.43	22	39.29	2	3
124	Maryland	12	66	3710	56.21	9	13.64	4	2
125	BowlingGreen	12	54	3032	56.15	11	20.37	2	3
126	SouthFlorida	13	75	4185	55.80	12	16.00	7	1
127	SouthAlabama	12	55	3064	55.71	9	16.36	3	3
128	MiddleTennessee	14	78	4316	55.33	13	16.67	3	0
129	KentState	12	57	3144	55.16	15	26.32	2	1
130	SMU	12	68	3609	53.07	12	17.65	6	0
